ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399102.SZ,20141110,1682.638,1688.719,1690.369,1671.719,1687.62,-4.982,-0.2952,16067553.46,34714323.1318
399102.SZ,20141111,1623.708,1683.008,1683.505,1609.896,1682.638,-58.93,-3.5022,21596510.15,44860280.157
399102.SZ,20141112,1644.347,1619.074,1644.347,1615.718,1623.708,20.639,1.2711,13969499.23,32598974.1061
399102.SZ,20141113,1603.527,1641.297,1641.297,1595.937,1644.347,-40.82,-2.4824,17414929.75,37327690.5974
399102.SZ,20141114,1598.598,1599.136,1607.165,1591.197,1603.527,-4.929,-0.3074,12663598.71,28843269.3379
399102.SZ,20141117,1631.804,1599.666,1635.117,1593.388,1598.598,33.206,2.0772,13918227.1,29531921.085
399102.SZ,20141118,1640.783,1630.803,1641.368,1630.541,1631.804,8.979,0.5502,12484839.46,26750094.4917
399102.SZ,20141119,1663.489,1645.163,1668.732,1645.163,1640.783,22.706,1.3839,15606058.09,33045878.3095
399102.SZ,20141120,1654.916,1659.858,1659.858,1650.099,1663.489,-8.573,-0.5154,14503131.22,31737737.8974
399102.SZ,20141121,1671.393,1654.216,1673.499,1654.216,1654.916,16.477,0.9956,15206725.51,32712544.9181
399102.SZ,20141124,1680.395,1680.718,1683.21,1668.082,1671.393,9.002,0.5386,18094254.16,38274613.3918
399102.SZ,20141125,1714.236,1681.595,1714.236,1680.328,1680.395,33.841,2.0139,21329324.94,46797196.6938
399102.SZ,20141126,1730.736,1717.904,1734.376,1717.904,1714.236,16.5,0.9625,21577370.86,46695690.7839
399102.SZ,20141127,1744.459,1735.964,1744.459,1727.813,1730.736,13.723,0.7929,23686674.35,49206325.3834
